[0000008177ns] mem rd: pc = 1c000060, addr = 1c009ae4, data = 1c002230
[0000008199ns] mem wr: pc = 1c000050, addr = 1c080204, data = 1c002230
[0000008237ns] mem rd: pc = 1c000060, addr = 1c009ae8, data = 1c001ecc
[0000008251ns] mem wr: pc = 1c000050, addr = 1c080208, data = 1c001ecc
[0000008289ns] mem rd: pc = 1c000060, addr = 1c009aec, data = 1c002230
[0000008309ns] mem wr: pc = 1c000050, addr = 1c08020c, data = 1c002230
[0000008347ns] mem rd: pc = 1c000060, addr = 1c009af0, data = 1c001f68
[0000008361ns] mem wr: pc = 1c000050, addr = 1c080210, data = 1c001f68
[0000008409ns] mem rd: pc = 1c000060, addr = 1c009af4, data = 1c002230
[0000008429ns] mem wr: pc = 1c000050, addr = 1c080214, data = 1c002230
[0000008467ns] mem rd: pc = 1c000060, addr = 1c009af8, data = 1c002230
[0000008481ns] mem wr: pc = 1c000050, addr = 1c080218, data = 1c002230
[0000008525ns] mem rd: pc = 1c000060, addr = 1c009afc, data = 1c001fd4
[0000008541ns] mem wr: pc = 1c000050, addr = 1c08021c, data = 1c001fd4
[0000008583ns] mem rd: pc = 1c000060, addr = 1c009b00, data = 1c002230
[0000008599ns] mem wr: pc = 1c000050, addr = 1c080220, data = 1c002230
[0000008643ns] mem rd: pc = 1c000060, addr = 1c009b04, data = 1c002230
[0000008661ns] mem wr: pc = 1c000050, addr = 1c080224, data = 1c002230
[0000008705ns] mem rd: pc = 1c000060, addr = 1c009b08, data = 1c002230
[0000008721ns] mem wr: pc = 1c000050, addr = 1c080228, data = 1c002230
[0000008763ns] mem rd: pc = 1c000060, addr = 1c009b0c, data = 1c002230
[0000008781ns] mem wr: pc = 1c000050, addr = 1c08022c, data = 1c002230
[0000008829ns] mem rd: pc = 1c000060, addr = 1c009b10, data = 1c002230
[0000008859ns] mem wr: pc = 1c000050, addr = 1c080230, data = 1c002230
[0000008897ns] mem rd: pc = 1c000060, addr = 1c009b14, data = 1c002230
[0000008919ns] mem wr: pc = 1c000050, addr = 1c080234, data = 1c002230
[0000008957ns] mem rd: pc = 1c000060, addr = 1c009b18, data = 1c002230
[0000008979ns] mem wr: pc = 1c000050, addr = 1c080238, data = 1c002230
[0000009017ns] mem rd: pc = 1c000060, addr = 1c009b1c, data = 1c002230
[0000009039ns] mem wr: pc = 1c000050, addr = 1c08023c, data = 1c002230
[0000009089ns] mem rd: pc = 1c000060, addr = 1c009b20, data = 1c001388
[0000009103ns] mem wr: pc = 1c000050, addr = 1c080240, data = 1c001388
[0000009145ns] mem rd: pc = 1c000060, addr = 1c009b24, data = 1c002230
[0000009171ns] mem wr: pc = 1c000050, addr = 1c080244, data = 1c002230
[0000009209ns] mem rd: pc = 1c000060, addr = 1c009b28, data = 1c001294
[0000009233ns] mem wr: pc = 1c000050, addr = 1c080248, data = 1c001294
[0000009277ns] mem rd: pc = 1c000060, addr = 1c009b2c, data = 1c0012cc
[0000009295ns] mem wr: pc = 1c000050, addr = 1c08024c, data = 1c0012cc
[0000009333ns] mem rd: pc = 1c000060, addr = 1c009b30, data = 1c001388
[0000009347ns] mem wr: pc = 1c000050, addr = 1c080250, data = 1c001388
[0000009389ns] mem rd: pc = 1c000060, addr = 1c009b34, data = 1c001388
[0000009403ns] mem wr: pc = 1c000050, addr = 1c080254, data = 1c001388
[0000009453ns] mem rd: pc = 1c000060, addr = 1c009b38, data = 1c001388
[0000009467ns] mem wr: pc = 1c000050, addr = 1c080258, data = 1c001388
[0000009505ns] mem rd: pc = 1c000060, addr = 1c009b3c, data = 1c001244
[0000009519ns] mem wr: pc = 1c000050, addr = 1c08025c, data = 1c001244
[0000009567ns] mem rd: pc = 1c000060, addr = 1c009b40, data = 1c0012cc
[0000009585ns] mem wr: pc = 1c000050, addr = 1c080260, data = 1c0012cc
[0000009627ns] mem rd: pc = 1c000060, addr = 1c009b44, data = 1c001284
[0000009639ns] mem wr: pc = 1c000050, addr = 1c080264, data = 1c001284
[0000009677ns] mem rd: pc = 1c000060, addr = 1c009b48, data = 1c002230
[0000009693ns] mem wr: pc = 1c000050, addr = 1c080268, data = 1c002230
[0000009739ns] mem rd: pc = 1c000060, addr = 1c009b4c, data = 1c00126c
